2017-04-05 15:20:29.105
62   Liron Yahdav   1787   2058   -13.17%   2017-04-05 15:20:41.842   2017-04-05 15:20:42.132   0 days, 0 hours, 0 minutes, 0 seconds
63   JimDaniel   4095   4898   -16.39%   2017-04-05 15:20:42.133   2017-04-05 15:20:42.293   0 days, 0 hours, 0 minutes, 0 seconds
64   t3rse   5554   5993   -7.33%   2017-04-05 15:20:42.294   2017-04-05 15:20:42.492   0 days, 0 hours, 0 minutes, 0 seconds
67   Rex M   80745   81655   -1.11%   2017-04-05 15:20:42.494   2017-04-05 15:20:42.724   0 days, 0 hours, 0 minutes, 0 seconds
68   Jonathan   195   197   -1.02%   2017-04-05 15:20:42.725   2017-04-05 15:20:42.951   0 days, 0 hours, 0 minutes, 0 seconds
70   Tim Boland   4213   4216   -0.07%   2017-04-05 15:20:42.952   2017-04-05 15:20:43.193   0 days, 0 hours, 0 minutes, 0 seconds
71   Dillie-O   16505   16971   -2.75%   2017-04-05 15:20:43.193   2017-04-05 15:20:43.399   0 days, 0 hours, 0 minutes, 0 seconds
72   pix0r   15297   18134   -15.64%   2017-04-05 15:20:43.399   2017-04-05 15:20:43.576   0 days, 0 hours, 0 minutes, 0 seconds
73   Joe Fontana   666   718   -7.24%   2017-04-05 15:20:43.576   2017-04-05 15:20:43.79   0 days, 0 hours, 0 minutes, 0 seconds
75   Ryan Ahearn   3805   3884   -2.03%   2017-04-05 15:20:43.793   2017-04-05 15:20:43.99   0 days, 0 hours, 0 minutes, 0 seconds
76   Pete   1766   2165   -18.43%   2017-04-05 15:20:43.99   2017-04-05 15:20:44.244   0 days, 0 hours, 0 minutes, 0 seconds
77   Darren Kopp   27657   28686   -3.59%   2017-04-05 15:20:44.245   2017-04-05 15:20:44.512   0 days, 0 hours, 0 minutes, 0 seconds
78   A Salim   359   261   37.55%   2017-04-05 15:20:44.512   2017-04-05 15:20:44.761   0 days, 0 hours, 0 minutes, 0 seconds
79   Adam Ernst   7508   7289   3.0%   2017-04-05 15:20:44.762   2017-04-05 15:20:45.016   0 days, 0 hours, 0 minutes, 0 seconds
80   alumb   2058   2606   -21.03%   2017-04-05 15:20:45.017   2017-04-05 15:20:45.163   0 days, 0 hours, 0 minutes, 0 seconds
81   MattH   860   751   14.51%   2017-04-05 15:20:45.163   2017-04-05 15:20:45.43   0 days, 0 hours, 0 minutes, 0 seconds
82   xyz   8781   9267   -5.24%   2017-04-05 15:20:45.43   2017-04-05 15:20:45.623   0 days, 0 hours, 0 minutes, 0 seconds
83   Zack Peterson   16578   19783   -16.2%   2017-04-05 15:20:45.624   2017-04-05 15:20:45.834   0 days, 0 hours, 0 minutes, 0 seconds
85   Paul Wicks   12247   13617   -10.06%   2017-04-05 15:20:45.835   2017-04-05 15:20:46.074   0 days, 0 hours, 0 minutes, 0 seconds
86   svrist   3294   3438   -4.19%   2017-04-05 15:20:46.074   2017-04-05 15:20:46.305   0 days, 0 hours, 0 minutes, 0 seconds
87   DylanJ   817   951   -14.09%   2017-04-05 15:20:46.305   2017-04-05 15:20:46.651   0 days, 0 hours, 0 minutes, 0 seconds
88   ESRogs   1400   1401   -0.07%   2017-04-05 15:20:46.651   2017-04-05 15:20:46.923   0 days, 0 hours, 0 minutes, 0 seconds
91   Michael Stum   64767   73849   -12.3%   2017-04-05 15:20:46.925   2017-04-05 15:20:47.191   0 days, 0 hours, 0 minutes, 0 seconds
92   Justin Standard   9725   15430   -36.97%   2017-04-05 15:20:47.191   2017-04-05 15:20:47.426   0 days, 0 hours, 0 minutes, 0 seconds
93   MojoFilter   4187   3857   8.56%   2017-04-05 15:20:47.426   2017-04-05 15:20:47.809   0 days, 0 hours, 0 minutes, 0 seconds
94   Stephen R.   84   84   0.0%   2017-04-05 15:20:47.81   2017-04-05 15:20:48.3   0 days, 0 hours, 0 minutes, 0 seconds
95   Marek Grzenkowicz   8963   9901   -9.47%   2017-04-05 15:20:48.301   2017-04-05 15:20:48.553   0 days, 0 hours, 0 minutes, 0 seconds
96   Chris Marasti-Georg   16424   17386   -5.53%   2017-04-05 15:20:48.554   2017-04-05 15:20:48.828   0 days, 0 hours, 0 minutes, 0 seconds
99   Jason Pratt   4246   5032   -15.62%   2017-04-05 15:20:48.834   2017-04-05 15:20:49.388   0 days, 0 hours, 0 minutes, 0 seconds
100   Eric Haskins   3631   4264   -14.85%   2017-04-05 15:20:49.388   2017-04-05 15:20:49.75   0 days, 0 hours, 0 minutes, 0 seconds
101   Peter Burns   17765   18434   -3.63%   2017-04-05 15:20:49.751   2017-04-05 15:20:50.028   0 days, 0 hours, 0 minutes, 0 seconds
102   Bill   7576   7914   -4.27%   2017-04-05 15:20:50.029   2017-04-05 15:20:50.289   0 days, 0 hours, 0 minutes, 0 seconds
103   svec   2088   2095   -0.33%   2017-04-05 15:20:50.289   2017-04-05 15:20:50.554   0 days, 0 hours, 0 minutes, 0 seconds
104   Ted Dziuba   1009   1027   -1.75%   2017-04-05 15:20:50.554   2017-04-05 15:20:50.925   0 days, 0 hours, 0 minutes, 0 seconds
105   Ryan Eastabrook   1325   1404   -5.63%   2017-04-05 15:20:50.926   2017-04-05 15:20:51.224   0 days, 0 hours, 0 minutes, 0 seconds
106   EndangeredMassa   8790   9673   -9.13%   2017-04-05 15:20:51.23   2017-04-05 15:20:51.525   0 days, 0 hours, 0 minutes, 0 seconds
107   Wilson   380   411   -7.54%   2017-04-05 15:20:51.526   2017-04-05 15:20:51.86   0 days, 0 hours, 0 minutes, 0 seconds
108   Greg   1853   1921   -3.54%   2017-04-05 15:20:51.861   2017-04-05 15:20:52.204   0 days, 0 hours, 0 minutes, 0 seconds
109   Kalid   5571   6420   -13.22%   2017-04-05 15:20:52.212   2017-04-05 15:20:52.505   0 days, 0 hours, 0 minutes, 0 seconds
111   saalon   1263   1413   -10.62%   2017-04-05 15:20:52.511   2017-04-05 15:20:52.768   0 days, 0 hours, 0 minutes, 0 seconds
112   Jesse Beder   13346   14188   -5.93%   2017-04-05 15:20:52.768   2017-04-05 15:20:53.131   0 days, 0 hours, 0 minutes, 0 seconds
113   tlrobinson   876   962   -8.94%   2017-04-05 15:20:53.131   2017-04-05 15:20:53.436   0 days, 0 hours, 0 minutes, 0 seconds
114   Craig Smitham   505   527   -4.17%   2017-04-05 15:20:53.442   2017-04-05 15:20:53.712   0 days, 0 hours, 0 minutes, 0 seconds
115   UnkwnTech   19624   22642   -13.33%   2017-04-05 15:20:53.712   2017-04-05 15:20:54.101   0 days, 0 hours, 0 minutes, 0 seconds
116   Mark Harrison   73158   80153   -8.73%   2017-04-05 15:20:54.102   2017-04-05 15:20:54.459   0 days, 0 hours, 0 minutes, 0 seconds
117   Peter Coulton   12144   12806   -5.17%   2017-04-05 15:20:54.46   2017-04-05 15:20:54.774   0 days, 0 hours, 0 minutes, 0 seconds
118   Brian Willis   5345   5716   -6.49%   2017-04-05 15:20:54.778   2017-04-05 15:20:55.137   0 days, 0 hours, 0 minutes, 0 seconds
119   Jesse Ezell   31   31   0.0%   2017-04-05 15:20:55.137   2017-04-05 15:20:55.47   0 days, 0 hours, 0 minutes, 0 seconds
120   hitec   662   824   -19.66%   2017-04-05 15:20:55.471   2017-04-05 15:20:55.833   0 days, 0 hours, 0 minutes, 0 seconds
121   ricree   3480   5235   -33.52%   2017-04-05 15:20:55.841   2017-04-05 15:20:56.243   0 days, 0 hours, 0 minutes, 0 seconds
122   Mike Stone   18781   21718   -13.52%   2017-04-05 15:20:56.244   2017-04-05 15:20:56.583   0 days, 0 hours, 0 minutes, 0 seconds
123   prakash   11945   18404   -35.1%   2017-04-05 15:20:56.583   2017-04-05 15:20:57.041   0 days, 0 hours, 0 minutes, 0 seconds
124   Daniel Broekman   2110   2011   4.92%   2017-04-05 15:20:57.042   2017-04-05 15:20:57.318   0 days, 0 hours, 0 minutes, 0 seconds
131   Marcel Tjandraatmadja   1796   2118   -15.2%   2017-04-05 15:20:57.325   2017-04-05 15:20:57.685   0 days, 0 hours, 0 minutes, 0 seconds
133   Luke Girvin   7206   8376   -13.97%   2017-04-05 15:20:57.695   2017-04-05 15:20:58.124   0 days, 0 hours, 0 minutes, 0 seconds
134   Stephen Hendry   329   321   2.49%   2017-04-05 15:20:58.124   2017-04-05 15:20:58.491   0 days, 0 hours, 0 minutes, 0 seconds
135   Rob Burke   1562   1610   -2.98%   2017-04-05 15:20:58.491   2017-04-05 15:20:58.841   0 days, 0 hours, 0 minutes, 0 seconds
136   Michiel de Mare   14474   16308   -11.25%   2017-04-05 15:20:58.841   2017-04-05 15:20:59.451   0 days, 0 hours, 0 minutes, 0 seconds
137   Polsonby   8707   12071   -27.87%   2017-04-05 15:20:59.451   2017-04-05 15:20:59.739   0 days, 0 hours, 0 minutes, 0 seconds
139   bentsai   1576   1931   -18.38%   2017-04-05 15:20:59.741   2017-04-05 15:20:59.926   0 days, 0 hours, 0 minutes, 0 seconds
140   Rufo Sanchez   375   390   -3.85%   2017-04-05 15:20:59.926   2017-04-05 15:21:00.167   0 days, 0 hours, 0 minutes, 0 seconds
142   Lehane   7076   7171   -1.32%   2017-04-05 15:21:00.169   2017-04-05 15:21:00.601   0 days, 0 hours, 0 minutes, 0 seconds
143   Robert Höglund   5375   5652   -4.9%   2017-04-05 15:21:00.605   2017-04-05 15:21:00.934   0 days, 0 hours, 0 minutes, 0 seconds
144   Issac Kelly   2969   3069   -3.26%   2017-04-05 15:21:00.934   2017-04-05 15:21:01.317   0 days, 0 hours, 0 minutes, 0 seconds
145   akdom   5969   6894   -13.42%   2017-04-05 15:21:01.318   2017-04-05 15:21:01.77   0 days, 0 hours, 0 minutes, 0 seconds
146   Sam Schutte   2750   2982   -7.78%   2017-04-05 15:21:01.77   2017-04-05 15:21:02.114   0 days, 0 hours, 0 minutes, 0 seconds
147   Gareth Simpson   6130   6110   0.33%   2017-04-05 15:21:02.114   2017-04-05 15:21:02.559   0 days, 0 hours, 0 minutes, 0 seconds
148   Adrian Clark   7381   7434   -0.71%   2017-04-05 15:21:02.56   2017-04-05 15:21:02.95   0 days, 0 hours, 0 minutes, 0 seconds
149   Rob Allen   7251   7898   -8.19%   2017-04-05 15:21:02.95   2017-04-05 15:21:03.309   0 days, 0 hours, 0 minutes, 0 seconds
150   ESV   4193   4716   -11.09%   2017-04-05 15:21:03.309   2017-04-05 15:21:03.807   0 days, 0 hours, 0 minutes, 0 seconds
151   Darren Greaves   1418   1492   -4.96%   2017-04-05 15:21:03.807   2017-04-05 15:21:04.179   0 days, 0 hours, 0 minutes, 0 seconds
152   Jonesinator   1855   1860   -0.27%   2017-04-05 15:21:04.179   2017-04-05 15:21:04.548   0 days, 0 hours, 0 minutes, 0 seconds
153   jaredg   1004   1630   -38.4%   2017-04-05 15:21:04.548   2017-04-05 15:21:05.003   0 days, 0 hours, 0 minutes, 0 seconds
154   Matt   2053   2384   -13.88%   2017-04-05 15:21:05.003   2017-04-05 15:21:05.332   0 days, 0 hours, 0 minutes, 0 seconds
155   garg   511   511   0.0%   2017-04-05 15:21:05.332   2017-04-05 15:21:05.801   0 days, 0 hours, 0 minutes, 0 seconds
156   Joe Shaw   6264   6698   -6.48%   2017-04-05 15:21:05.801   2017-04-05 15:21:06.204   0 days, 0 hours, 0 minutes, 0 seconds
157   nlucaroni   19313   22247   -13.19%   2017-04-05 15:21:06.204   2017-04-05 15:21:06.578   0 days, 0 hours, 0 minutes, 0 seconds
159   Holtorf   591   1015   -41.77%   2017-04-05 15:21:06.58   2017-04-05 15:21:07.073   0 days, 0 hours, 0 minutes, 0 seconds
160   Louis Salin   155   336   -53.87%   2017-04-05 15:21:07.074   2017-04-05 15:21:07.532   0 days, 0 hours, 0 minutes, 0 seconds
161   Federico Builes   2342   1965   19.19%   2017-04-05 15:21:07.532   2017-04-05 15:21:07.907   0 days, 0 hours, 0 minutes, 0 seconds
162   Paul G   1631   1629   0.12%   2017-04-05 15:21:07.908   2017-04-05 15:21:08.46   0 days, 0 hours, 0 minutes, 0 seconds
163   thelsdj   3697   3408   8.48%   2017-04-05 15:21:08.46   2017-04-05 15:21:08.895   0 days, 0 hours, 0 minutes, 0 seconds
